,Country Name,Region,Year,Exports,Tax revenue,FDI outflow,GDP growth,GDS,Imports,Poverty headcount,Unemployment,Resident's Savings,FCE,Income Measure,Education expenditure,Geographic Size,Life expectancy,Population
488,Croatia,Europe,2015,0.218869401,0.2692178,0.22359396,0.544573584,0.608422385,0.225646095,0.007434944,0.580539359,0.128491506,0.391577615,0.294203864,0.261670204,0.003397785,0.790886219,0.002805116
489,Croatia,Europe,2016,0.225194907,0.27750778,0.215784136,0.57663719,0.624332783,0.227611678,0.007434944,0.468294461,0.128428438,0.375667217,0.312325117,0.264151308,0.003397785,0.815554228,0.002784031
510,Cyprus,Europe,2007,0.259992257,0.754181738,0.238094747,0.623998001,0.609580411,0.31154121,0,0.13483965,0.127400609,0.390419589,0.390939374,0.398838604,0.000544681,0.841600744,0.000549419
511,Cyprus,Europe,2008,0.243025285,0.710687176,0.35736891,0.579243769,0.567813359,0.344276175,0,0.127915452,0.127504483,0.432186641,0.437308461,0.424121936,0.000544681,0.847252621,0.000562765
512,Cyprus,Europe,2009,0.23576568,0.316802492,0.836030875,0.404635218,0.584062006,0.284777719,0.001239157,0.194606414,0.127624805,0.415937994,0.431045969,0.408180924,0.000544681,0.861134422,0.000576159
513,Cyprus,Europe,2010,0.245084288,0.314482658,0.541774677,0.528912134,0.55946713,0.316324385,0,0.222667638,0.127349106,0.44053287,0.420919387,0.421812086,0.000544681,0.869860126,0.000589645
514,Cyprus,Europe,2011,0.261827983,0.316196646,0.666909433,0.479162063,0.552421106,0.306834964,0,0.280247813,0.127670755,0.447578894,0.43757495,0.401137407,0.000544681,0.880899463,0.000600744
515,Cyprus,Europe,2012,0.271605401,0.319413437,1,0.360488399,0.54268975,0.306185545,0,0.431851312,0.127230737,0.45731025,0.403197868,0.373787766,0.000544681,0.884535173,0.000609011
516,Cyprus,Europe,2013,0.303739496,0.322526637,0.546042819,0.264696847,0.545298761,0.323500901,0.001239157,0.578717201,0.127073155,0.454701239,0.381212525,0.398400901,0.000544681,0.894219383,0.000616516
517,Cyprus,Europe,2014,0.328836247,0.343430932,0.958787446,0.410369694,0.545067196,0.359494265,0.001239157,0.584183673,0.126897453,0.454932804,0.37188541,0.288580904,0.000544681,0.906415537,0.000623742
518,Cyprus,Europe,2015,0.35074169,0.331992285,0.798498065,0.571110723,0.566795559,0.3757455,0,0.538629738,0.12723141,0.433204441,0.403331113,0.369249771,0.000544681,0.912860659,0.000631155
